event_name,beta,beta_err,tau,tau_err,r_squared,chi2_dof,delta_aic,snr,mass_1_msun,mass_2_msun,mass_final_msun,spin_final,distance_mpc,catalog
GW150914,0.9491278527106208,0.02,0.009539150557093102,5.866198002647167e-05,0.9989635262643032,1.0197430626973933,-53.4962551325998,127.61082282937839,35.6,30.6,63.1,0.69,440,GWTC-1
GW151012,0.9542409567291383,0.022241351857093857,0.005349741975689198,0.00011522230164343369,0.9913894118450768,1.1118239068030835,-1.7868918205391537,46.85823074340444,23.2,13.6,35.6,0.67,1060,GWTC-1
GW151226,0.8984680132251391,0.02,0.0030819017155652843,6.695312921175246e-05,0.9936828438552895,1.2246237798329016,-18.544234327352342,65.0020446643551,13.7,7.7,20.5,0.74,440,GWTC-1
GW170104,0.886177965857699,0.02,0.007499091927089226,0.00011003455981022138,0.9955827536123119,1.032113619967625,-56.56421458364116,64.95057386769717,30.8,20.0,48.9,0.66,960,GWTC-1
GW170729,0.9317614052889608,0.02,0.012080223774003125,0.00015200620111157585,0.9951328963184896,1.0153284771764228,-24.484555601369266,59.39402664337499,50.2,34.0,79.5,0.81,2750,GWTC-1
GW170809,0.942250812376117,0.02,0.00852547322190519,0.00010469742316327064,0.9962503919409995,1.0314674971918587,-17.336401554836584,69.08141452101547,35.0,23.8,56.3,0.7,990,GWTC-1
GW170814,0.908389707486847,0.02,0.008014911487493608,8.482713730702658e-05,0.9975125265266941,1.022314958337474,-64.19573864774179,83.93492731979029,30.6,25.2,53.2,0.72,580,GWTC-1
GW170818,0.9017887161149196,0.02,0.008916252185007438,0.00013488479611790933,0.9945056039032372,1.0292156691971526,-40.31784567224099,55.831961562435346,35.4,26.7,59.4,0.67,1020,GWTC-1
GW170823,0.9327133625999283,0.02,0.010043356035364888,0.00013351691015244614,0.9951843150829696,1.0185695343233956,-21.49693923669338,59.29061304079874,39.5,29.0,65.4,0.72,1850,GWTC-1
GW190412,1.0011663872269743,0.02,0.005647636839733287,6.10442348018575e-05,0.9977193570090228,1.065631865218649,1.9912528601776103,86.48811294882992,30.1,8.3,37.0,0.43,740,GWTC-2
GW190421_213856,0.9582243412364522,0.02,0.010796459544626158,0.00012786990778740538,0.9958080306243428,1.0186801544422643,-8.669793321465932,61.92775616992681,42.1,32.8,71.6,0.73,2240,GWTC-2
GW190503_185404,0.8837861602000044,0.02,0.010230587816664007,0.00013479370696471785,0.9955761702769226,1.015846739072518,-74.52250333178335,63.6153666182102,43.3,28.9,68.6,0.69,1490,GWTC-2
GW190512_180714,0.8867236663905184,0.02,0.005143659834994483,8.673806539986494e-05,0.9954740036031579,1.0564762872170117,-41.02181695046215,65.66083890368915,23.3,12.6,34.4,0.61,1370,GWTC-2
GW190513_205428,0.9831817737688089,0.02,0.0076668336242698195,0.00011085517399019256,0.9951108689451126,1.0276937879576569,0.9348462948585166,58.17756052900085,35.7,18.0,51.0,0.6,2060,GWTC-2
GW190517_055101,0.9295381548521238,0.02,0.009163243848931878,0.00013868258298940743,0.9943733059323914,1.0211594366742984,-17.62627274125498,55.165203285725156,37.4,25.3,59.5,0.66,2420,GWTC-2
GW190519_153544,0.9530869345171261,0.02,0.015239212907835585,0.0001401583919916559,0.9967764880840386,1.0150077302216394,-18.26064521656008,70.0719146003683,66.0,40.4,100.9,0.78,3000,GWTC-2
GW190521,0.9754373842960885,0.02,0.02384939591512334,0.000173659573883905,0.996581171719845,1.0149928560334147,-3.5017248881349587,70.19667928277829,95.3,69.0,156.3,0.72,5300,GWTC-2
GW190602_175927,0.9312354653283565,0.02,0.016971941231370868,0.00019227410976822092,0.9948426653320215,1.0149783035746556,-25.764280516262716,56.86712440253977,69.1,47.9,111.2,0.77,3230,GWTC-2
GW190630_185205,0.9223021854870651,0.02,0.008447488662763866,9.57629643847767e-05,0.9968876965677858,1.0318985545684942,-41.11227741484231,75.29891174416879,35.1,23.6,56.0,0.69,930,GWTC-2
GW190701_203306,0.9340105359631403,0.02,0.013541293599808652,0.00018609335532711782,0.99371370483052,1.0155612859627767,-17.624369152025793,52.12428369108513,53.8,40.5,89.8,0.75,2530,GWTC-2
GW190706_222641,0.9707516073786261,0.02,0.01550688616467766,0.00015916483121219204,0.9957835709753059,1.0150604047989678,-4.084384150563892,60.06210299665013,67.0,38.2,99.7,0.74,4700,GWTC-2
GW190708_232457,0.9127357606828813,0.02,0.004520973584044939,7.374541245440191e-05,0.9957485840460529,1.1242788480423551,-24.492152022085065,70.66721941128628,17.6,13.2,29.4,0.71,880,GWTC-2
GW190719_215514,0.9252976660873506,0.02,0.008427872812726748,0.00015691075794547075,0.9920772744395117,1.0228219921647137,-12.669186081470343,47.772892847082396,36.5,22.7,56.2,0.63,4390,GWTC-2
GW190720_000836,0.9502051458885225,0.02417259465210015,0.003066430147105015,7.193020308446496e-05,0.9926398841248842,1.2223734786675655,-1.8110554816328204,56.919635900981305,13.4,7.8,20.3,0.67,850,GWTC-2
GW190727_060333,0.9277440040653051,0.02,0.009158925958818877,0.0001368315103672876,0.9944033407945457,1.025912168381686,-20.05627946295772,54.70941180901131,38.0,27.0,61.9,0.68,3200,GWTC-2
GW190731_140936,0.9872048203815263,0.02,0.00970717552133781,0.00016409094184093647,0.9918407857732525,1.0292132480443872,1.540436524401457,42.7230645403159,41.6,26.1,64.4,0.66,3510,GWTC-2
GW190803_022701,0.9515642333700189,0.02,0.009255912648260636,0.00015761088068178746,0.9925175083924866,1.0222263615393723,-5.087345039104548,46.58376589856704,37.3,27.2,61.4,0.68,2630,GWTC-2
GW191109_010717,0.9375009276031216,0.02,0.01601496557029917,0.00012873222854088798,0.9974950565597515,1.015405050134344,-42.80951572834738,80.48426414485543,65.0,47.0,106.3,0.78,1790,GWTC-3
GW191113_071753,0.9822687368467982,0.02968449875840137,0.005305893626311414,0.00014105367990273053,0.9865212902204165,1.1440205521942917,1.6803471053348176,37.881919537896785,24.9,10.4,33.5,0.54,3150,GWTC-3
GW191127_050227,0.9399502069253348,0.02,0.014850685078032362,0.00023486627531130218,0.9909610724860938,1.0150820037564645,-10.136866226031088,42.05252752926527,61.7,38.7,95.4,0.72,3410,GWTC-3
GW191204_110529,0.8298488567872592,0.022959343011485035,0.0037476247352843982,0.0001156879879361212,0.987600729427169,1.127132163883517,-32.68783776796977,44.29299537299523,17.9,8.2,24.8,0.57,1320,GWTC-3
GW191215_223052,0.9042544953118151,0.02,0.005868052970607702,0.00011679734345371137,0.992806694840576,1.0820982708366447,-20.67819496062043,51.8361798621123,24.4,17.7,40.1,0.69,1250,GWTC-3
GW191222_033537,0.9059008333716184,0.02,0.00981729632872679,0.00015365495298226897,0.993805095701025,1.021582906847613,-33.423648646495394,52.39119609840347,41.5,25.7,64.0,0.65,2780,GWTC-3
GW191230_180458,0.9243264932881331,0.02,0.010414550249544722,0.0001891989340004691,0.991166725109121,1.0184023928888244,-13.70764458947724,45.105205854557724,44.9,25.9,67.2,0.63,2460,GWTC-3
GW200112_155838,0.9469802584617194,0.02,0.00914060531814606,0.00011050788390458947,0.9961789352767522,1.0229551717053038,-14.617701758772,67.43813882019664,35.6,27.4,59.9,0.71,1470,GWTC-3
GW200128_022011,0.8932165973940949,0.02,0.009514710716680147,0.00016490572757576422,0.9926768500308566,1.0182774624129272,-37.250195464206854,48.31798588088463,40.9,24.9,62.7,0.65,2480,GWTC-3
GW200129_065458,0.8853895244739078,0.02,0.008995837165025644,8.375455779638273e-05,0.9979323094692549,1.0206971782633107,-127.53152819657475,92.83337134545971,34.5,28.3,59.6,0.71,920,GWTC-3
GW200208_130117,0.958274707314372,0.02,0.00923016315804084,0.00013174070592690464,0.994675723068805,1.0273569265623368,-5.231214370143789,54.843703991874364,37.7,25.4,60.1,0.67,2290,GWTC-3
